********************************
*Task test instances (60 tasks)*
********************************

Each line of the file contains the following data:

		ID|SE|RE|WR|LO|TI

Where

		ID = ID of the task.
		SE = SEnsors required by the task.
		RE = REwards of task sensors.
		WR = Working Rates of task sensors.
		LO = LOcation of the task.
		TI = Temporal Information about the task [Priority, Duration, Discovering date, Starting date, Finishing date].

|ID     |SE             |RE             |WR                |LO                      |TI                           |
-------------------------------------------------------------------------------------------------------------------
|Task001|[1.0, 1.0, 1.0]|[4.0, 5.0, 2.0]|[0.05, 0.90, 0.75]|(003.00, 019.00, 000.00)|[06, 01, 00:00, 00:07, 00:16]|
|Task002|[1.0, 1.0, 1.0]|[9.0, 9.0, 9.0]|[0.50, 0.55, 0.20]|(016.00, 007.00, 000.00)|[05, 04, 00:00, 00:06, 00:19]|
|Task003|[1.0, 1.0, 1.0]|[8.0, 7.0, 4.0]|[0.20, 0.75, 0.75]|(009.00, 002.00, 000.00)|[01, 03, 00:00, 00:06, 00:16]|
|Task004|[1.0, 1.0, 1.0]|[8.0, 5.0, 7.0]|[0.90, 1.00, 0.60]|(018.00, 009.00, 000.00)|[01, 05, 00:00, 00:06, 00:19]|
|Task005|[1.0, 1.0, 1.0]|[2.0, 1.0, 4.0]|[0.90, 0.15, 0.65]|(003.00, 002.00, 000.00)|[07, 04, 00:00, 00:05, 00:16]|
|Task006|[1.0, 1.0, 1.0]|[1.0, 1.0, 3.0]|[0.35, 0.45, 0.25]|(016.00, 013.00, 000.00)|[06, 05, 00:00, 00:05, 00:17]|
|Task007|[1.0, 1.0, 1.0]|[3.0, 9.0, 1.0]|[0.50, 0.15, 0.80]|(017.00, 013.00, 000.00)|[03, 01, 00:00, 00:08, 00:14]|
|Task008|[1.0, 1.0, 1.0]|[2.0, 3.0, 8.0]|[0.60, 0.40, 0.30]|(016.00, 009.00, 000.00)|[08, 04, 00:01, 00:08, 00:18]|
|Task009|[1.0, 1.0, 1.0]|[1.0, 7.0, 4.0]|[0.05, 0.10, 0.50]|(003.00, 007.00, 000.00)|[01, 03, 00:01, 00:08, 00:17]|
|Task010|[1.0, 1.0, 1.0]|[6.0, 3.0, 4.0]|[0.25, 0.10, 0.25]|(008.00, 018.00, 000.00)|[08, 02, 00:01, 00:10, 00:21]|
|Task011|[1.0, 1.0, 1.0]|[7.0, 5.0, 1.0]|[0.20, 0.30, 0.85]|(006.00, 008.00, 000.00)|[08, 05, 00:01, 00:08, 00:22]|
|Task012|[1.0, 1.0, 1.0]|[6.0, 4.0, 9.0]|[0.10, 0.80, 0.05]|(012.00, 007.00, 000.00)|[04, 05, 00:02, 00:07, 00:19]|
|Task013|[1.0, 1.0, 1.0]|[7.0, 7.0, 9.0]|[0.60, 0.60, 0.85]|(009.00, 016.00, 000.00)|[08, 03, 00:02, 00:07, 00:17]|
|Task014|[1.0, 1.0, 1.0]|[6.0, 1.0, 9.0]|[1.00, 0.95, 0.95]|(007.00, 003.00, 000.00)|[00, 05, 00:02, 00:08, 00:20]|
|Task015|[1.0, 1.0, 1.0]|[6.0, 8.0, 1.0]|[0.35, 0.10, 0.20]|(012.00, 008.00, 000.00)|[09, 03, 00:02, 00:10, 00:22]|
|Task016|[1.0, 1.0, 1.0]|[7.0, 2.0, 8.0]|[0.85, 0.60, 0.90]|(017.00, 007.00, 000.00)|[00, 02, 00:02, 00:07, 00:16]|
|Task017|[1.0, 1.0, 1.0]|[4.0, 2.0, 7.0]|[0.95, 0.55, 0.45]|(016.00, 003.00, 000.00)|[08, 02, 00:02, 00:08, 00:17]|
|Task018|[1.0, 1.0, 1.0]|[9.0, 1.0, 7.0]|[0.80, 0.85, 0.10]|(003.00, 002.00, 000.00)|[04, 04, 00:02, 00:11, 00:21]|
|Task019|[1.0, 1.0, 1.0]|[2.0, 9.0, 6.0]|[0.10, 0.30, 0.85]|(001.00, 018.00, 000.00)|[01, 02, 00:03, 00:10, 00:19]|
|Task020|[1.0, 1.0, 1.0]|[4.0, 5.0, 6.0]|[0.50, 0.70, 0.75]|(003.00, 014.00, 000.00)|[05, 02, 00:03, 00:11, 00:20]|
|Task021|[1.0, 1.0, 1.0]|[7.0, 5.0, 3.0]|[0.70, 0.85, 0.50]|(006.00, 016.00, 000.00)|[07, 05, 00:03, 00:11, 00:21]|
|Task022|[1.0, 1.0, 1.0]|[2.0, 2.0, 3.0]|[0.85, 0.25, 0.65]|(004.00, 018.00, 000.00)|[01, 01, 00:03, 00:11, 00:17]|
|Task023|[1.0, 1.0, 1.0]|[5.0, 9.0, 7.0]|[0.30, 0.20, 1.00]|(008.00, 010.00, 000.00)|[09, 04, 00:03, 00:09, 00:19]|
|Task024|[1.0, 1.0, 1.0]|[1.0, 3.0, 9.0]|[0.60, 0.60, 0.40]|(011.00, 013.00, 000.00)|[09, 05, 00:03, 00:08, 00:18]|
|Task025|[1.0, 1.0, 1.0]|[4.0, 5.0, 5.0]|[0.85, 0.55, 0.25]|(008.00, 004.00, 000.00)|[04, 03, 00:03, 00:12, 00:21]|
|Task026|[1.0, 1.0, 1.0]|[5.0, 7.0, 1.0]|[0.25, 0.80, 0.35]|(002.00, 009.00, 000.00)|[07, 02, 00:04, 00:13, 00:21]|
|Task027|[1.0, 1.0, 1.0]|[6.0, 7.0, 9.0]|[0.35, 0.55, 1.00]|(019.00, 004.00, 000.00)|[06, 02, 00:04, 00:13, 00:20]|
|Task028|[1.0, 1.0, 1.0]|[8.0, 2.0, 3.0]|[0.40, 0.45, 0.25]|(009.00, 002.00, 000.00)|[09, 05, 00:04, 00:13, 00:25]|
|Task029|[1.0, 1.0, 1.0]|[1.0, 2.0, 6.0]|[0.70, 0.75, 0.95]|(013.00, 008.00, 000.00)|[05, 04, 00:04, 00:09, 00:21]|
|Task030|[1.0, 1.0, 1.0]|[9.0, 3.0, 7.0]|[0.70, 0.75, 0.70]|(000.00, 016.00, 000.00)|[07, 01, 00:04, 00:13, 00:21]|
|Task031|[1.0, 1.0, 1.0]|[5.0, 1.0, 4.0]|[0.15, 0.30, 0.75]|(010.00, 019.00, 000.00)|[03, 01, 00:05, 00:12, 00:22]|
|Task032|[1.0, 1.0, 1.0]|[5.0, 6.0, 2.0]|[0.25, 0.05, 0.45]|(007.00, 015.00, 000.00)|[06, 02, 00:05, 00:13, 00:21]|
|Task033|[1.0, 1.0, 1.0]|[4.0, 3.0, 2.0]|[0.35, 0.40, 0.85]|(014.00, 000.00, 000.00)|[01, 04, 00:05, 00:10, 00:22]|
|Task034|[1.0, 1.0, 1.0]|[5.0, 2.0, 9.0]|[0.10, 0.50, 0.25]|(010.00, 013.00, 000.00)|[04, 01, 00:05, 00:10, 00:17]|
|Task035|[1.0, 1.0, 1.0]|[2.0, 6.0, 8.0]|[0.60, 0.55, 0.45]|(013.00, 017.00, 000.00)|[05, 02, 00:05, 00:14, 00:21]|
|Task036|[1.0, 1.0, 1.0]|[5.0, 9.0, 5.0]|[0.95, 0.50, 0.40]|(000.00, 015.00, 000.00)|[04, 01, 00:06, 00:15, 00:24]|
|Task037|[1.0, 1.0, 1.0]|[9.0, 8.0, 1.0]|[0.95, 0.80, 0.90]|(000.00, 010.00, 000.00)|[04, 03, 00:06, 00:11, 00:22]|
|Task038|[1.0, 1.0, 1.0]|[6.0, 7.0, 8.0]|[1.00, 0.05, 0.40]|(012.00, 000.00, 000.00)|[03, 03, 00:06, 00:12, 00:21]|
|Task039|[1.0, 1.0, 1.0]|[7.0, 5.0, 5.0]|[0.05, 0.85, 0.85]|(017.00, 014.00, 000.00)|[03, 05, 00:06, 00:14, 00:25]|
|Task040|[1.0, 1.0, 1.0]|[9.0, 6.0, 8.0]|[0.20, 0.90, 0.20]|(015.00, 018.00, 000.00)|[08, 03, 00:06, 00:11, 00:22]|
|Task041|[1.0, 1.0, 1.0]|[3.0, 6.0, 6.0]|[0.20, 0.30, 0.20]|(007.00, 018.00, 000.00)|[02, 01, 00:06, 00:12, 00:21]|
|Task042|[1.0, 1.0, 1.0]|[5.0, 5.0, 3.0]|[0.05, 0.40, 0.20]|(009.00, 010.00, 000.00)|[03, 05, 00:06, 00:15, 00:26]|
|Task043|[1.0, 1.0, 1.0]|[9.0, 8.0, 2.0]|[0.30, 0.45, 0.40]|(019.00, 017.00, 000.00)|[09, 05, 00:06, 00:11, 00:22]|
|Task044|[1.0, 1.0, 1.0]|[6.0, 9.0, 3.0]|[0.90, 0.80, 1.00]|(006.00, 015.00, 000.00)|[00, 02, 00:06, 00:12, 00:23]|
|Task045|[1.0, 1.0, 1.0]|[2.0, 7.0, 9.0]|[0.70, 0.15, 0.80]|(014.00, 017.00, 000.00)|[02, 05, 00:07, 00:15, 00:27]|
|Task046|[1.0, 1.0, 1.0]|[7.0, 1.0, 4.0]|[0.75, 0.35, 0.75]|(006.00, 018.00, 000.00)|[07, 05, 00:07, 00:13, 00:26]|
|Task047|[1.0, 1.0, 1.0]|[8.0, 8.0, 9.0]|[0.80, 0.65, 0.20]|(009.00, 019.00, 000.00)|[06, 01, 00:07, 00:15, 00:25]|
|Task048|[1.0, 1.0, 1.0]|[4.0, 7.0, 2.0]|[0.60, 0.60, 0.95]|(007.00, 004.00, 000.00)|[04, 04, 00:07, 00:15, 00:26]|
|Task049|[1.0, 1.0, 1.0]|[9.0, 9.0, 6.0]|[0.90, 1.00, 0.25]|(003.00, 014.00, 000.00)|[02, 03, 00:07, 00:12, 00:24]|
|Task050|[1.0, 1.0, 1.0]|[9.0, 3.0, 1.0]|[0.90, 0.70, 0.15]|(007.00, 015.00, 000.00)|[02, 02, 00:08, 00:17, 00:26]|
|Task051|[1.0, 1.0, 1.0]|[5.0, 2.0, 9.0]|[0.70, 0.60, 0.35]|(010.00, 016.00, 000.00)|[08, 01, 00:08, 00:15, 00:21]|
|Task052|[1.0, 1.0, 1.0]|[2.0, 7.0, 3.0]|[0.10, 0.50, 0.75]|(003.00, 002.00, 000.00)|[03, 04, 00:08, 00:16, 00:27]|
|Task053|[1.0, 1.0, 1.0]|[4.0, 3.0, 7.0]|[0.25, 0.20, 0.45]|(007.00, 004.00, 000.00)|[04, 01, 00:08, 00:13, 00:21]|
|Task054|[1.0, 1.0, 1.0]|[2.0, 1.0, 6.0]|[0.15, 0.65, 0.55]|(013.00, 012.00, 000.00)|[02, 04, 00:08, 00:14, 00:25]|
|Task055|[1.0, 1.0, 1.0]|[6.0, 4.0, 5.0]|[0.60, 0.55, 0.65]|(009.00, 003.00, 000.00)|[05, 02, 00:09, 00:15, 00:26]|
|Task056|[1.0, 1.0, 1.0]|[4.0, 1.0, 3.0]|[0.05, 0.50, 0.85]|(011.00, 008.00, 000.00)|[03, 01, 00:09, 00:18, 00:26]|
|Task057|[1.0, 1.0, 1.0]|[5.0, 5.0, 8.0]|[0.40, 0.90, 0.45]|(008.00, 016.00, 000.00)|[03, 03, 00:09, 00:14, 00:25]|
|Task058|[1.0, 1.0, 1.0]|[8.0, 6.0, 2.0]|[0.80, 0.50, 0.90]|(015.00, 003.00, 000.00)|[08, 01, 00:09, 00:15, 00:24]|
|Task059|[1.0, 1.0, 1.0]|[5.0, 8.0, 4.0]|[0.55, 0.30, 0.85]|(019.00, 007.00, 000.00)|[02, 01, 00:09, 00:15, 00:25]|
|Task060|[1.0, 1.0, 1.0]|[7.0, 9.0, 2.0]|[0.25, 0.75, 0.30]|(011.00, 013.00, 000.00)|[06, 05, 00:09, 00:17, 00:28]|
SD = 0.0
