*********************************
*Task test instances (100 tasks)*
*********************************

Each line of the file contains the following data:

		ID|SE|RE|WR|LO|TI

Where

		ID = ID of the task.
		SE = SEnsors required by the task.
		RE = REwards of task sensors.
		WR = Working Rates of task sensors.
		LO = LOcation of the task.
		TI = Temporal Information about the task [Priority, Duration, Discovering date, Starting date, Finishing date].

|ID     |SE             |RE             |WR                |LO                      |TI                           |
-------------------------------------------------------------------------------------------------------------------
|Task001|[1.0, 1.0, 1.0]|[3.0, 8.0, 1.0]|[0.45, 0.35, 0.05]|(002.00, 003.00, 000.00)|[04, 04, 00:00, 00:07, 00:19]|
|Task002|[1.0, 1.0, 1.0]|[3.0, 1.0, 7.0]|[0.10, 0.35, 0.50]|(009.00, 018.00, 000.00)|[08, 04, 00:01, 00:07, 00:18]|
|Task003|[1.0, 1.0, 1.0]|[8.0, 9.0, 7.0]|[0.90, 0.25, 0.05]|(015.00, 019.00, 000.00)|[05, 05, 00:01, 00:06, 00:20]|
|Task004|[1.0, 1.0, 1.0]|[4.0, 6.0, 1.0]|[0.55, 0.30, 0.70]|(011.00, 017.00, 000.00)|[01, 01, 00:03, 00:12, 00:18]|
|Task005|[1.0, 1.0, 1.0]|[6.0, 3.0, 6.0]|[0.45, 0.65, 0.35]|(003.00, 008.00, 000.00)|[08, 03, 00:03, 00:11, 00:22]|
|Task006|[1.0, 1.0, 1.0]|[1.0, 4.0, 5.0]|[0.60, 0.05, 0.90]|(015.00, 019.00, 000.00)|[09, 02, 00:04, 00:13, 00:20]|
|Task007|[1.0, 1.0, 1.0]|[1.0, 3.0, 5.0]|[0.65, 0.30, 0.70]|(012.00, 003.00, 000.00)|[00, 05, 00:04, 00:10, 00:20]|
|Task008|[1.0, 1.0, 1.0]|[1.0, 8.0, 2.0]|[1.00, 0.25, 0.15]|(010.00, 002.00, 000.00)|[05, 02, 00:04, 00:12, 00:21]|
|Task009|[1.0, 1.0, 1.0]|[3.0, 7.0, 1.0]|[0.80, 0.20, 0.05]|(003.00, 011.00, 000.00)|[05, 04, 00:04, 00:12, 00:23]|
|Task010|[1.0, 1.0, 1.0]|[8.0, 9.0, 8.0]|[0.25, 0.50, 0.65]|(007.00, 013.00, 000.00)|[02, 02, 00:05, 00:11, 00:20]|
|Task011|[1.0, 1.0, 1.0]|[4.0, 4.0, 9.0]|[0.65, 0.70, 0.35]|(001.00, 013.00, 000.00)|[09, 05, 00:06, 00:14, 00:26]|
|Task012|[1.0, 1.0, 1.0]|[2.0, 8.0, 5.0]|[0.15, 0.80, 0.70]|(005.00, 015.00, 000.00)|[03, 03, 00:06, 00:14, 00:24]|
|Task013|[1.0, 1.0, 1.0]|[6.0, 4.0, 1.0]|[0.75, 0.70, 0.65]|(015.00, 003.00, 000.00)|[07, 02, 00:06, 00:11, 00:20]|
|Task014|[1.0, 1.0, 1.0]|[6.0, 7.0, 9.0]|[0.55, 0.40, 0.60]|(011.00, 014.00, 000.00)|[07, 04, 00:06, 00:13, 00:25]|
|Task015|[1.0, 1.0, 1.0]|[3.0, 8.0, 2.0]|[0.85, 0.60, 0.10]|(008.00, 009.00, 000.00)|[00, 05, 00:07, 00:15, 00:27]|
